codigo;descripcion;uni_med;cantidad;valor;codigo_cliente;cuidad
1 2613000;ALGODON 8 GR. FARMACOTTON;UNI;13;2,47;13448;RIO CHICO
1 2613015;ALGODON 5 GR.FARMACOTTON;UND;13;1,56;13448;RIO CHICO
1 3320100;VASELINA 60GR. FRUTAL MILY;UNI;18;7,33;13448;RIO CHICO
1 3320125;ACEITE JOHN JOHN BABY 50GR;UND;12;4,86;13448;RIO CHICO
1 3621201;FIJADOR R.CHARDON 75ML.FUERTE FINAL TOUCH;UND;6;12,88;13448;RIO CHICO
1 3621230;HOJA DE AFEITAR ASTRA X 5;UND;80;80,08;13448;RIO CHICO
1 3890055;LAVA BIBERONES N24682;UND;3;4,32;13448;RIO CHICO
1 3890780;UNAS ACRILICAS ADORO X-NAIL NATURAL CORTAS;UNI;72;21,71;13448;RIO CHICO
1 4040182;ALICATE DE MANO AMY BEAUTY DE COLOR 15032-214;UNI;3;8,1;13448;RIO CHICO
2 0100002;DIAREN 200/350MG. X 20 COMP.;UNI;2;12;13448;RIO CHICO
2 1090120;ANALGAN 1 GR. X 20;UNI;3;13,87;13448;RIO CHICO
2 3131160;PARACETAMOL 500MG. PORTUGAL X 100 TAB.;UNI;6;13,5;13448;RIO CHICO
2 9000484;MOLAREX X 6 (RISTRA);UNI;8;10,64;13448;RIO CHICO
2 9000486;DICLOFENACO GEN FAR 50MG.X30 GRAGEAS;UNI;1;1,72;13448;RIO CHICO
2 9000491;BUPREX FLASH 400MG. X 10 CAP.;UNI;2;6,76;13448;RIO CHICO
2 9000494;GENTAMAX 0.1% CREMA 15 GR;UNI;7;3,43;13448;RIO CHICO
2 9000498;APRONAX 275MG. LIQUID GELS X 20;UNI;2;12;13448;RIO CHICO
2 9000499;APRONAX 550 MG X 20;UNI;2;14,8;13448;RIO CHICO
2 9000501;FEMEN FORTE X 10;UNI;5;12,85;13448;RIO CHICO
2 9000507;CATAFLAN DD. 50MG.X 12 TAB.;UNI;1;5,33;13448;RIO CHICO
2 9000510;AMPLIURINA FORTE X 10 CAP.;UNI;5;10,3;13448;RIO CHICO
2 9000515;TALCO FUNGIREX CHICO 45G.;UNI;7;11,41;13448;RIO CHICO
2 9000517;ALKA SELTZER BOOST TBA X 10;UNI;2;4,78;13448;RIO CHICO
2 9000519;LECHE MAGNESIA MK 120 ML.;UNI;14;24,36;13448;RIO CHICO
2 9000520;FINALIN FORTE X 50;UNI;2;22,34;13448;RIO CHICO
2 9000521;MENTOL SIKURA 10GR.;UNI;12;4,92;13448;RIO CHICO
2 9000522;MENTOL CHINO 10 GR.;UNI;36;18,87;13448;RIO CHICO
2 9000524;VAPORAL LATA;UNI;12;4,08;13448;RIO CHICO
2 9000530;ALERCET 10MG. X 10 TAB.;UNI;1;2,78;13448;RIO CHICO
2 9000538;BUPREX MIGRA X 20;UNI;3;27;13448;RIO CHICO
2 9000540;UMBRAL 500MG X 10;UNI;5;9;13448;RIO CHICO
2 9000541;BENZOPAREGORICA X20;UNI;1;3,1;13448;RIO CHICO
2 9000545;AMOXICILINA 500MG.X 10 LA SANTE;UNI;5;4;13448;RIO CHICO
2 9000549;SAL ANDREWS X 1 SOBRES;UNI;24;3,94;13448;RIO CHICO
2 9000553;MELOXICAN 15MG. X 10 NATURGEN;UNI;10;9,4;13448;RIO CHICO
2 9000554;PORTIL CREMA 20MG. X 1 PORTUGAL;UNI;4;6,56;13448;RIO CHICO
2 9000557;DOLONEUROBION X 30;UNI;1;13,09;13448;RIO CHICO
1 0030600;SH. TIO NACHO 415ML. MANZANILLA ACLARANTE;UNI;1;7,9;13451;SAN VICENTE
1 0030601;SH. TIO NACHO 415ML. ENGROSADOR;UND;1;7,9;13451;SAN VICENTE
1 0030602;SH. TIO NACHO 415ML. ANTI EDAD;UNI;1;7,9;13451;SAN VICENTE
1 0030603;SH. TIO NACHO 415ML. ANTI CAIDA;UNI;1;7,9;13451;SAN VICENTE
1 0030610;ACOND. TIO NACHO 415ML. ACLARANTE;UNI;2;15,8;13451;SAN VICENTE
1 0080005;PASTA COLGATE TRIPLE ACCION 60ML;UNI;12;10,44;13451;SAN VICENTE
1 0080033;JABON PROTEX TRIPACK 125GR. FRESH;UND;3;6,9;13451;SAN VICENTE
1 0120111;AFEIT.PRESTOBARBA ULTRAGRIP;UND;28;21,12;13451;SAN VICENTE
1 0251109;TINTE LUMINANCE 60GR.X2 6.0 RUBIO OSCURO;UND;1;7,8;13451;SAN VICENTE
1 0251116;TINTE LUMINANCE 60GR.X2 7.1 RUBIO CENIZO PROFUND;UNI;1;7,8;13451;SAN VICENTE
1 0251126;TINTE LUMINANCE 60GR.X2 6.45 RUB OSC. COB. CAOB;UNI;1;7,8;13451;SAN VICENTE
1 0251333;TIJERA PW NEW PROFESIONAL STYLE;UNI;2;9;13451;SAN VICENTE
1 0270021;JABON PROACTIVE 110GR. X 3 PIEL SUAVE;UNI;3;5,01;13451;SAN VICENTE
1 0279020;TOALLAS HUMEDAS NAPPIS X 50- FISHER PRICE;UNI;13;15,72;13451;SAN VICENTE
1 0371621;TIJERA DE COSTURA N 7 DE LUJO;UND;2;2,44;13451;SAN VICENTE
1 0450014;JABON LUX X 3 125GR. TENTACION DE PERA;UND;3;5,58;13451;SAN VICENTE
1 0450136;CREMA PONDS REJUVENESS 50GR.;UNI;2;12,12;13451;SAN VICENTE
1 0450365;SH. HEAD AND SHOULDERS 375ML CONTROL GRASA;UNI;6;33,63;13451;SAN VICENTE
1 0450366;SH. HEAD AND SHOULDERS 375ML MANZANA FRESH;UNI;13;72,86;13451;SAN VICENTE
1 0866220;TOALLA INTIMA ALAS X 10;UNI;30;22,32;13451;SAN VICENTE
1 2611000;JERINGA VANJERIN 3CC. 22 X 1.5;UND;200;12;13451;SAN VICENTE
1 2611010;JERINGA VANJERIN 5CCC. 22X1;UND;200;13;13451;SAN VICENTE
1 3220059;SH. PANTENE 200ML. CONTROL CAIDA;UND;25;74,35;13451;SAN VICENTE
2 9000527;ALCOHOL CHERY 1000ML;UNI;32;100,58;13451;SAN VICENTE
2 9000540;UMBRAL 500MG X 10;UNI;50;90;13451;SAN VICENTE
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;UND;36;216;13460;JUNIN
1 0000004;VELA HONG YUN X 8 MV 7252;UNI;65;65;13460;JUNIN
1 0011030;ACEITE ROJO PARA MUEBLE MOEBEL 240ML.;FCO;28;48,38;13460;JUNIN
1 0080040;DESOD. NODOR CLASICO ROJO 10 GR.;UND;12;6;13460;JUNIN
1 0120120;HOJA DE AFEITAR GUILLETE 1X5;UND;60;36;13460;JUNIN
1 0160050;ACEITE JOHNSON BABY  50 ML.;UND;24;29,76;13460;JUNIN
1 0160141;COTONETES MADERA CLEAN UP 3 x100;UNI;96;28,8;13460;JUNIN
1 0182003;CEPILLO DENTAL DR. COSMETICS;UNI;48;8,83;13460;JUNIN
1 0190550;ACEITE BEBES 16OZ. BABY OIL;UNI;8;25,6;13460;JUNIN
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;41;79,2;13460;JUNIN
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;UND;72;74,52;13460;JUNIN
1 0230019;DESOD. SUTTON AC SOFT WOMEN 30GR. ROLLON;UNI;72;42,41;13460;JUNIN
1 0230071;NAIPE TUN HUANG;UNI;12;3,67;13460;JUNIN
1 0230924;PEGAMENTO SUPER DURA  X 1;UND;400;48,38;13460;JUNIN
1 0320001;POLVO DR.ANDERSON 120GR.;UND;26;59,76;13460;JUNIN
1 0450099;JABON DOVE X 4 90GR. LECHE DE COCO;UNI;12;39,48;13460;JUNIN
1 0450159;JABON REXONA X 4 BAMBOO FRESH 125GR.;UNI;24;48;13460;JUNIN
1 3621230;HOJA DE AFEITAR ASTRA X 5;UND;440;220,22;13460;JUNIN
2 9000517;ALKA SELTZER BOOST TBA X 10;UNI;1;2,39;13460;JUNIN
2 9000520;FINALIN FORTE X 50;UNI;4;43,3;13460;JUNIN
2 9000522;MENTOL CHINO 10 GR.;UNI;144;81,73;13460;JUNIN
2 9000529;ALCOHOL JL 100ML;UNI;36;14,4;13460;JUNIN
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;UND;5;31,95;13471;SAN CLEMENTE
1 0010150;SH. SAVITAL 550ML. BIOTINA;UNI;1;4,09;13471;SAN CLEMENTE
1 0030081;NIVEA CREMA  30CC. CAJITA;UNI;3;5,13;13471;SAN CLEMENTE
1 0041004;PILA SONY ALKALINAS AA/2;UND;3;4,05;13471;SAN CLEMENTE
1 0041222;PILA TOCEBA RICH X4 AAA;UNI;3;1,35;13471;SAN CLEMENTE
1 0050327;CREMA PRETTY GIRLS SECRET 2.5 OZ.;UNI;3;8,1;13471;SAN CLEMENTE
1 0080040;DESOD. NODOR CLASICO ROJO 10 GR.;UND;12;6;13471;SAN CLEMENTE
1 0080045;DESOD. LADY SPRAY FLORAL FRESH 100ML.;UND;1;4,16;13471;SAN CLEMENTE
1 0080048;DESOD. LADY ROLLON FLORAL FRESH 50GR;UND;4;8;13471;SAN CLEMENTE
1 0080270;MENTICOL ROJO 150 CC.;UND;3;5,7;13471;SAN CLEMENTE
1 0080280;MENTICOL VERDE 150 C.;UND;3;5,7;13471;SAN CLEMENTE
1 0080502;CEPILLO COLGATE PREMIER X 1;UND;12;8,11;13471;SAN CLEMENTE
1 0160002;BIBERON CARLITOS 9ONZ. S/AGARRADERA;UND;3;3,6;13471;SAN CLEMENTE
1 0160051;ACEITE JOHNSON BABY 100 ML.;UND;3;6;13471;SAN CLEMENTE
1 0160130;BIBERON CARLITOS 5ONZ. S/AGARRADERA;UND;4;4,24;13471;SAN CLEMENTE
1 0160135;BIBERON CARLITOS 9ONZ. C/AGARRADERA;UND;1;1,3;13471;SAN CLEMENTE
1 0180205;DECOLORANTE BONDE DE IGORA 25G.;UNI;9;17,1;13471;SAN CLEMENTE
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;6;12,28;13471;SAN CLEMENTE
1 0230008;DESOD. SUTTON CLASICO 30GR. ROLLON;UND;7;4,34;13471;SAN CLEMENTE
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;UND;26;29,9;13471;SAN CLEMENTE
1 0230044;DESOD. SUTTON AC SOFT HOMBRE 75GR. ROLLON;UNI;4;4,6;13471;SAN CLEMENTE
1 0235021;BIGEN N 47 CASTANO OSCURO;UND;1;3,1;13471;SAN CLEMENTE
1 0235030;BIGEN N 59 NEGRO ORIENTAL 60GR.;UND;1;3,1;13471;SAN CLEMENTE
1 0250004;SH. VITANE DE 400ML. ANTICAIDA X2 + ACOND.;UNI;1;10,5;13471;SAN CLEMENTE
1 0251240;TINTE COLORISS 50G. 1.0 NEGRO;UNI;1;1,8;13471;SAN CLEMENTE
1 0251248;TINTE COLORISS 50G. 6.35 RUBIO OSCURO CHOCOLAT;UNI;1;1,8;13471;SAN CLEMENTE
1 0251250;TINTE COLORISS 50G. 6.66 RUBIO OSC. EXTRA ROJO;UNI;1;1,8;13471;SAN CLEMENTE
1 0251254;TINTE COLORISS 50G. 8.0 RUBIO CLARO;UNI;1;1,8;13471;SAN CLEMENTE
1 0270088;TALCO AZURRA 50 GR.;UND;3;4,65;13471;SAN CLEMENTE
1 0270089;TALCO AZURRA 100 GR.;UND;3;5,79;13471;SAN CLEMENTE
1 0270090;TALCO AZURRA 200 GR.;UND;3;9,66;13471;SAN CLEMENTE
1 0274043;SH. FAMILY 1000CC. HENA Y AZABACHE (NEGRO);UND;1;2,75;13471;SAN CLEMENTE
1 0274044;SH. FAMILY 1000CC. MANZANILLA;UND;1;2,75;13471;SAN CLEMENTE
1 0274050;SH. FAMILY 1000CC. CONTROL TOTAL;UND;1;2,75;13471;SAN CLEMENTE
1 0274052;SH. FAMILY 1000CC. AGUACATE;UND;3;8,25;13471;SAN CLEMENTE
1 0450118;CREMA DE PEINAR SEDAL 300ML. YUYA DETOX;UNI;1;3,65;13471;SAN CLEMENTE
1 0450233;DESOD. REXONA ROLLON SPORTFAN 50ML.;UND;8;14,32;13471;SAN CLEMENTE
1 0450234;DESOD. REXONA ROLLON 50ML. X2 BAMBU;UND;2;7,16;13471;SAN CLEMENTE
1 0450237;DESOD. REXONA ROLLON V8  50ML.;UND;3;5,37;13471;SAN CLEMENTE
1 0450254;DESOD. REXONA STICK BAMBOO 50GR.;UND;3;10,09;13471;SAN CLEMENTE
1 0450258;DESOD. REXONA STICK SPORTFAN HOMBRE 50GR;UND;1;3,54;13471;SAN CLEMENTE
1 0450267;DESOD. REXONA STICK V8. 50GR.;UND;2;7,08;13471;SAN CLEMENTE
1 0450437;DESOD. REXONA ROLLON 50ML. X2 V8;UNI;2;7,16;13471;SAN CLEMENTE
1 0450457;CREMA DE PEINAR SEDAL 300ML. RIZOS OBEDIENTES;UNI;1;3,65;13471;SAN CLEMENTE
1 0450476;DESOD. REXONA CLINICAL 48GR.WOMEN;UND;2;10,42;13471;SAN CLEMENTE
1 0451153;DESOD. DOVE STICK. CLEAR TONE;UND;3;11,7;13471;SAN CLEMENTE
1 0860012;PANALIN PLUS MEDIANO X 24;UNI;2;4,88;13471;SAN CLEMENTE
1 0861900;TINTE COLORET X1 20;UNI;1;1,8;13471;SAN CLEMENTE
1 0861902;TINTE COLORET X1 30;UNI;1;1,8;13471;SAN CLEMENTE
1 0861903;TINTE COLORET X1 40;UNI;2;3,6;13471;SAN CLEMENTE
1 0861905;TINTE COLORET X1 50;UNI;1;1,8;13471;SAN CLEMENTE
1 0862666;TINTE HAR CREMA 66-46 X 2 ROJ.SALV;UND;2;9;13471;SAN CLEMENTE
1 0866243;PROTECTORES DIARIOS INTIMA X 120;UNI;2;6,6;13471;SAN CLEMENTE
1 2431000;DESOD. ULTRA 24 FRESH 75GR.;UND;3;5,16;13471;SAN CLEMENTE
1 2431001;DESOD. ULTRA 24 SPORT 75GR.;UND;3;5,16;13471;SAN CLEMENTE
1 2470307;ESTUCHE HAPPY BABY N 3 200ML. SH.+COL.+ACE.;UNI;1;7,55;13471;SAN CLEMENTE
1 2470338;CREMA FOREVER 500G. HUMECTANTE;UNI;2;7,2;13471;SAN CLEMENTE
1 2610051;GASA QUIRURGICA HERENCO 7.5X7.5CM.;UND;100;9;13471;SAN CLEMENTE
1 3131010;BLOQUEADOR SOLAR SOL Y BICHOS 10G.;UNI;40;24,12;13471;SAN CLEMENTE
1 3320151;QUITA ESMALTE CHERY 50ML.;UNI;6;3,6;13471;SAN CLEMENTE
1 3320152;QUITA ESMALTE CHERY 90ML.;UND;6;5,76;13471;SAN CLEMENTE
1 3500080;TINTE DUO KIT 8 RUBIO CLARO;UND;1;3,75;13471;SAN CLEMENTE
1 3500200;OXIGENTA BMT VOL 20 DE 90ML.;UNI;6;8,96;13471;SAN CLEMENTE
1 3500201;OXIGENTA BMT VOL 30 DE 90ML.;UNI;9;13,69;13471;SAN CLEMENTE
1 3501004;TINTE DUO KIT 4B CASTANO BORGONA;UNI;1;3,75;13471;SAN CLEMENTE
1 4010050;CREMA INTIMATE 20 ONZ. COCOA;UND;3;9;13471;SAN CLEMENTE
1 9000384;TINTE JOVE CREMA 4-26;UNI;1;3,6;13471;SAN CLEMENTE
2 1090120;ANALGAN 1 GR. X 20;UNI;3;15,32;13471;SAN CLEMENTE
2 9000507;CATAFLAN DD. 50MG.X 12 TAB.;UNI;2;10,66;13471;SAN CLEMENTE
2 9000521;MENTOL SIKURA 10GR.;UNI;12;4,92;13471;SAN CLEMENTE
2 9000522;MENTOL CHINO 10 GR.;UNI;24;12,58;13471;SAN CLEMENTE
2 9000554;PORTIL CREMA 20MG. X 1 PORTUGAL;UNI;12;19,68;13471;SAN CLEMENTE
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;UND;12;72;13498;CHARAPOTO
1 0000100;PALETA DE MADERA DOBLE RASPA CAYO;UNI;1;1,12;13498;CHARAPOTO
1 0011126;140L LUCES MULTICOLOR/MUSICAL 1024;UNI;7;10,5;13498;CHARAPOTO
1 0011132;140L MORADO C/N 88292G LED SERIE;UNI;2;8;13498;CHARAPOTO
1 0011156;CORONA NAVIDENA MERRY CHRISTMAS 30CM. JS125;UNI;1;5;13498;CHARAPOTO
1 0080040;DESOD. NODOR CLASICO ROJO 10 GR.;UND;12;6;13498;CHARAPOTO
1 0080048;DESOD. LADY ROLLON FLORAL FRESH 50GR;UND;12;19,2;13498;CHARAPOTO
1 0160023;SH. JOHNSON 400ML. MANZANILLA;UNI;4;21,24;13498;CHARAPOTO
1 0160026;SH. JOHNSON 400ML. CAB.OSCURO;UND;4;21,24;13498;CHARAPOTO
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;3;6,14;13498;CHARAPOTO
1 0222057;COLONIA PERSONI 250ML. TAPA AMARILLA;UNI;3;11,16;13498;CHARAPOTO
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;UND;13;14,2;13498;CHARAPOTO
1 0230040;INVISIBLES MUSHEE X 130;UND;2;1,8;13498;CHARAPOTO
1 0274043;SH. FAMILY 1000CC. HENA Y AZABACHE (NEGRO);UND;4;11;13498;CHARAPOTO
1 0450233;DESOD. REXONA ROLLON SPORTFAN 50ML.;UND;3;5,37;13498;CHARAPOTO
1 0450235;DESOD. REXONA ROLLON TROP ENERG 50ML.;UND;6;10,74;13498;CHARAPOTO
1 0451002;SH. DOVE 400ML. RECONSTRUCCION COMPLETA SIN SAL;UND;1;5,75;13498;CHARAPOTO
1 0861000;TINTE COLOR TONE 20 NEGRO KIT;UND;4;9,47;13498;CHARAPOTO
1 0861010;TINTE COLOR TONE 28 NEGRO AZULADO KIT;UND;3;7,1;13498;CHARAPOTO
1 2610021;ESPARADRAPO HERENCO 1.25;UND;12;3,36;13498;CHARAPOTO
1 3320100;VASELINA 60GR. FRUTAL MILY;UNI;12;4,51;13498;CHARAPOTO
1 3850005;GEL ROLDA 120GR. BLANCO;UND;7;6,7;13498;CHARAPOTO
2 3130646;IBUPROFENO 400MG. TAB. X 10 NATURGEN;UNI;10;5;13498;CHARAPOTO
2 9000481;ALCOHOL JANDL 100ML;UNI;24;9,6;13498;CHARAPOTO
2 9000501;FEMEN FORTE X 10;UNI;5;12,85;13498;CHARAPOTO
2 9000522;MENTOL CHINO 10 GR.;UNI;60;31,44;13498;CHARAPOTO
2 9000531;LEMONFLU X 12 ADULTO;UNI;15;22,95;13498;CHARAPOTO
2 9000538;BUPREX MIGRA X 20;UNI;1;9;13498;CHARAPOTO
2 9000540;UMBRAL 500MG X 10;UNI;5;9;13498;CHARAPOTO
2 9000549;SAL ANDREWS X 1 SOBRES;UNI;48;7,87;13498;CHARAPOTO
2 9000559;OMEPRALIV 20MG. X 10;UNI;20;18;13498;CHARAPOTO
1 0450024;SH. HEAD AND SHOULDERS 375ML PURIFICACION CAPILA;UNI;3;16,81;13541;PORTOVIEJO
1 0450077;SH. SEDAL DE 340ML. CONTROL CASPA;UNI;6;17,1;13541;PORTOVIEJO
1 0450080;SH. SEDAL DE 340ML. KERATINA;UNI;3;9,78;13541;PORTOVIEJO
1 0450084;SH. SEDAL DE 340ML. CERAMIDAS;UNI;3;9,78;13541;PORTOVIEJO
1 0450140;SH. SEDAL 190ML. CERAMIDAS;UNI;3;6,9;13541;PORTOVIEJO
1 0450141;SH. SEDAL 190ML. KERATINA;UNI;3;6,9;13541;PORTOVIEJO
1 0450144;SH. SEDAL DE 190ML. CASPA;UNI;6;13,79;13541;PORTOVIEJO
1 0450363;SH. HEAD AND SHOULDERS 375ML. SUAVE Y MANEJABLE;UNI;3;16,81;13541;PORTOVIEJO
1 0450366;SH. HEAD AND SHOULDERS 375ML MANZANA FRESH;UNI;3;16,81;13541;PORTOVIEJO
1 0866220;TOALLA INTIMA ALAS X 10;UNI;15;11,16;13541;PORTOVIEJO
1 2430500;DESOD. ARRID R-O BABY FRESH 75GR.;UND;6;14,28;13541;PORTOVIEJO
1 0010151;SH. SAVITAL 550ML. KERATINA;UNI;3;11,78;13545;JUNIN
1 0010152;SH. SAVITAL 550ML. MULTIVITAMINA;UNI;10;39,26;13545;JUNIN
1 0010165;SH. SAVITAL COLAGENO Y SABILA 550ML.;UNI;3;11,78;13545;JUNIN
1 0041006;PILA SONY CARBON X 1 AAA;UND;40;8;13545;JUNIN
1 0041222;PILA TOCEBA RICH X4 AAA;UNI;7;3,15;13545;JUNIN
1 0080041;DESOD. NODOR SPORT AZUL 10 GR.;UND;12;6;13545;JUNIN
1 0120115;AFEIT. PRESTOBARBA ULTRA GRIP X 3UNID.;UNI;4;8;13545;JUNIN
1 0160050;ACEITE JOHNSON BABY  50 ML.;UND;13;16,12;13545;JUNIN
1 0160141;COTONETES MADERA CLEAN UP 3 x100;UNI;15;4,8;13545;JUNIN
1 0182003;CEPILLO DENTAL DR. COSMETICS;UNI;12;2,21;13545;JUNIN
1 0230001;AFEITABIC;UNI;52;15;13545;JUNIN
1 0230008;DESOD. SUTTON CLASICO 30GR. ROLLON;UND;12;7,07;13545;JUNIN
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;UND;12;13,11;13545;JUNIN
1 0230019;DESOD. SUTTON AC SOFT WOMEN 30GR. ROLLON;UNI;13;7,66;13545;JUNIN
1 0230020;DESOD. SUTTON AC SOFT WOMEN 75GR. ROLLON;UNI;13;14,2;13545;JUNIN
1 0230071;NAIPE TUN HUANG;UNI;12;3,67;13545;JUNIN
1 0230924;PEGAMENTO SUPER DURA  X 1;UND;48;6,01;13545;JUNIN
1 027002501;JABON PROACTIVE 110GR. X 3 HIDRALOE;UNI;7;11,69;13545;JUNIN
1 0274032;SH. FAMILY 180ML. MANZANILLA;UNI;16;5,6;13545;JUNIN
1 0274035;SH. FAMILY 180ML. CONTROL TOTAL;UNI;12;4,32;13545;JUNIN
1 0274041;SH. FAMILY 1000CC. SABILA;UND;3;8,25;13545;JUNIN
1 0274044;SH. FAMILY 1000CC. MANZANILLA;UND;3;8,25;13545;JUNIN
1 0274050;SH. FAMILY 1000CC. CONTROL TOTAL;UND;3;8,25;13545;JUNIN
1 0450151;JABON REXONA X 3 BAMBOO FRESH;UND;4;7,44;13545;JUNIN
1 0451150;DESOD. DOVE STICK. ORIGINAL;UND;1;3,9;13545;JUNIN
1 0866220;TOALLA INTIMA ALAS X 10;UNI;12;9,3;13545;JUNIN
1 0866233;TOALLA INTIMA NOCTURNA CON ALAS X 10;UNI;6;10,2;13545;JUNIN
1 0866240;PROTECTORES DIARIOS INTIMA X 15;UND;13;9,72;13545;JUNIN
1 0866243;PROTECTORES DIARIOS INTIMA X 120;UNI;1;3,3;13545;JUNIN
1 2470343;CREMA FOREVER 170ML NUTRITIVA;UNI;1;1,75;13545;JUNIN
1 2611050;PRESERVATIVO SURE X 1;UNI;72;10,08;13545;JUNIN
1 3320100;VASELINA 60GR. FRUTAL MILY;UNI;12;4,51;13545;JUNIN
1 3621230;HOJA DE AFEITAR ASTRA X 5;UND;40;20,02;13545;JUNIN
2 1090120;ANALGAN 1 GR. X 20;UNI;1;4,56;13545;JUNIN
2 3131160;PARACETAMOL 500MG. PORTUGAL X 100 TAB.;UNI;1;2,25;13545;JUNIN
2 9000481;ALCOHOL JANDL 100ML;UNI;12;4,8;13545;JUNIN
2 9000513;ASPIRINA ADVANCED SOBRE X 10;UNI;2;8,78;13545;JUNIN
2 9000517;ALKA SELTZER BOOST TBA X 10;UNI;2;4,78;13545;JUNIN
2 9000519;LECHE MAGNESIA MK 120 ML.;UNI;3;5,22;13545;JUNIN
2 9000520;FINALIN FORTE X 50;UNI;1;11,39;13545;JUNIN
2 9000521;MENTOL SIKURA 10GR.;UNI;12;4,92;13545;JUNIN
2 9000522;MENTOL CHINO 10 GR.;UNI;60;31,45;13545;JUNIN
2 9000524;VAPORAL LATA;UNI;12;4,08;13545;JUNIN
2 9000526;ALCOHOL CHERRY 500ML SPRAY;UNI;4;9,2;13545;JUNIN
2 9000527;ALCOHOL CHERY 1000ML;UNI;8;28,58;13545;JUNIN
2 9000529;ALCOHOL JL 100ML;UNI;12;4,8;13545;JUNIN
2 9000540;UMBRAL 500MG X 10;UNI;3;6,24;13545;JUNIN
2 9000549;SAL ANDREWS X 1 SOBRES;UNI;12;1,97;13545;JUNIN
1 0010064;CREMA DE PEINAR SAVITAL 275CC. BIOTINA;UNI;5;15;13548;ROCAFUERTE
1 0010146;SH. SAVITAL 550ML. PLACENTA;UND;3;11,78;13548;ROCAFUERTE
1 0010150;SH. SAVITAL 550ML. BIOTINA;UNI;9;35,34;13548;ROCAFUERTE
1 0010151;SH. SAVITAL 550ML. KERATINA;UNI;23;90,32;13548;ROCAFUERTE
1 0010152;SH. SAVITAL 550ML. MULTIVITAMINA;UNI;20;78,54;13548;ROCAFUERTE
1 0010160;SH. SAVITAL 550ML. ANTICASPA;UNI;3;12,27;13548;ROCAFUERTE
1 0010164;CREMA DE PEINAR SAVITAL 275CC. KERATINA;UNI;13;39;13548;ROCAFUERTE
1 0010165;SH. SAVITAL COLAGENO Y SABILA 550ML.;UNI;13;51,05;13548;ROCAFUERTE
1 0010167;CREMA DE PEINAR SAVITAL 275CC. COLAGENO;UNI;7;21;13548;ROCAFUERTE
1 0010169;CREMA DE PEINAR SAVITAL 275CC. MULTIVITAMINA;UNI;22;66;13548;ROCAFUERTE
1 0010174;TRATAMIENTO NUTRIBELA BIOKERATINA 27ML;UNI;12;5,04;13548;ROCAFUERTE
1 0020110;SH. ELVIVE 400ML. RE-NUTRICION;UND;2;13,16;13548;ROCAFUERTE
1 0120120;HOJA DE AFEITAR GUILLETE 1X5;UND;60;36;13548;ROCAFUERTE
1 0120137;AFEITADORA PRESTOBARBA TRIPLE HOJA;UND;32;31,2;13548;ROCAFUERTE
1 0160133;TETINES CARLITOS SILICON (CAJA);UND;26;7,8;13548;ROCAFUERTE
1 0190235;ESMALTE RODHER 10ML BASE ROSADA;UNI;48;72,14;13548;ROCAFUERTE
1 0270118;JABON LIQUIDO BAMBINI MONSTERS 280ML;UNI;9;18,3;13548;ROCAFUERTE
1 0320001;POLVO DR.ANDERSON 120GR.;UND;72;166,83;13548;ROCAFUERTE
1 0450233;DESOD. REXONA ROLLON SPORTFAN 50ML.;UND;7;12,53;13548;ROCAFUERTE
1 0450234;DESOD. REXONA ROLLON 50ML. X2 BAMBU;UND;3;10,74;13548;ROCAFUERTE
1 0450235;DESOD. REXONA ROLLON TROP ENERG 50ML.;UND;4;7,16;13548;ROCAFUERTE
1 0450349;CREMA PONDS CLARANT B3 SACHET 10GR.;UNI;40;24,69;13548;ROCAFUERTE
1 0450363;SH. HEAD AND SHOULDERS 375ML. SUAVE Y MANEJABLE;UNI;3;16,81;13548;ROCAFUERTE
1 0450364;SH. HEAD AND SHOULDERS 375ML LIMPIEZA RENOVADORA;UNI;3;16,81;13548;ROCAFUERTE
1 0450366;SH. HEAD AND SHOULDERS 375ML MANZANA FRESH;UNI;13;72,86;13548;ROCAFUERTE
1 0450368;SH. HEAD AND SHOULDERS 375ML ALIVIO INSTANTANEO;UNI;12;67,25;13548;ROCAFUERTE
1 0450369;SH. HEAD AND SHOULDERS 375ML PROTECCION CAIDA;UNI;2;11,8;13548;ROCAFUERTE
1 0450372;SH. HEAD AND SHOULDERS 375ML NUTRICION PROFUNDA;UNI;3;16,81;13548;ROCAFUERTE
1 0450437;DESOD. REXONA ROLLON 50ML. X2 V8;UNI;3;10,74;13548;ROCAFUERTE
1 0861000;TINTE COLOR TONE 20 NEGRO KIT;UND;6;14,2;13548;ROCAFUERTE
1 2431001;DESOD. ULTRA 24 SPORT 75GR.;UND;13;22,36;13548;ROCAFUERTE
1 2470330;CREMA FOREVER 500G. REPARACION INTENSA;UNI;1;3,76;13548;ROCAFUERTE
